,Serial_Number
1,10040014
2,10040016
3,10040021
4,10120017
5,10170004
6,10220001
7,10220002
8,10220007
9,10230001
10,10230005
11,10260005
12,10260010
13,10260013
14,10300011
15,10350015
16,10350016
17,10360001
18,10360009
19,10360018
20,10380011
21,10480001
22,10610007
23,10650007
24,10670027
25,10670048
26,10670067
27,10670079
28,10670095
29,10670104
30,10680018
31,10690068
32,10690164
33,10690166
34,10700012
35,10720002
36,10730012
37,10770001
38,10860020
39,10900031
40,10900061
41,10900074
42,10900091
43,20020024
44,20020059
45,20030020
46,20040001
47,20070006
48,20120006
51,20120007
52,20120008
53,20120032
54,20140042
55,20140076
56,20140080
57,20150026
58,20160026
59,20190008
60,20190041
61,20190045
62,20200032
63,20240031
64,20240039
65,20250013
66,20250036
67,20260002
68,20270004
69,20280015
70,20290011
71,20290027
72,20310021
73,20310022
74,20320002
75,20320011
76,20320013
77,20320021
78,20320024
79,20320036
80,20320051
81,20320053
82,20330005
83,20330029
84,20340002
85,20340005
86,20340006
87,20350018
88,20360004
89,20360022
90,20370043
91,20380025
92,20380052
93,20390046
94,20390055
95,20390067
96,20390077
97,20410002
98,20410003
101,20430009
102,20440006
103,20440014
104,20450012
105,20450037
106,20460031
107,20470002
108,20480001
109,20480010
110,20490009
111,20490019
112,20520029
113,20550004
114,20550009
115,20550027
116,20560032
117,20560042
118,20560052
119,20610013
120,20670012
121,20670018
122,20670024
123,20670025
124,20700004
125,30020011
126,30030019
127,30040034
128,30040042
129,30050141
130,30070007
131,30070016
132,30100020
133,30110003
134,30110011
135,30130028
136,30150023
137,30170025
138,30170028
139,30180005
140,30200002
141,30230008
142,30230012
143,30240016
144,30250026
145,30300015
146,30320002
147,30330026
148,30350006
151,30390021
152,30390030
153,30390047
154,30400019
155,30410022
156,30430006
157,30460011
158,30460026
159,30480002
160,30490003
161,30500002
162,30500011
163,30530008
164,30530009
165,30540022
166,30550026
167,30570026
168,30660005
169,30700026
170,30710009
171,30770020
172,30770035
173,40010001
174,40020005
175,40060001
176,40081000
177,40140012
178,40160001
179,40200004
180,40200017
181,40200019
182,40200020
183,40210007
184,40240019
185,40240020
186,40240023
187,40310006
188,40310007
189,40310013
190,40310017
191,40330018
192,40340018
193,40400003
194,40400005
195,40400007
196,40400008
197,40400020
198,40450007
201,40450014
202,40450016
203,40450017
204,40460016
205,40470010
206,40480001
207,40490023
208,40490024
209,40530016
210,40530023
211,40540001
212,40620012
213,40650008
214,40650016
215,40660015
216,40660016
217,40660021
218,40680016
219,40680022
220,40680023
221,40700010
222,40700014
223,40700015
224,40700017
225,40710005
226,40750009
227,40750011
228,40750023
229,40750024
230,40780001
231,40860007
232,40870005
233,40890010
234,40900010
235,40920018
236,40930011
237,40960013
238,40960019
239,41000025
240,41010024
241,41020008
242,41020017
243,41020019
244,41020034
245,41040031
246,41050013
247,41080026
248,41090011
251,41090029
252,41110002
253,41110003
254,41120005
255,41140020
256,50020019
257,50050018
258,50050021
259,50090003
260,50090004
261,50110004
262,50120028
263,50130014
264,50140010
265,50160024
266,50170004
267,50270004
268,50280006
269,50280009
270,50280019
271,50300028
272,50310004
273,50320007
274,50330005
275,50340005
276,50370009
277,50370012
278,50400006
279,50440016
280,50470005
281,50490009
282,50490013
283,50510028
284,50530003
285,50550011
286,50560009
287,50570009
288,50610002
289,50630021
290,50640007
291,50640018
292,50670006
293,50690007
294,50690014
295,50710007
296,50710018
297,50750001
298,50750003
301,50770003
302,50830017
303,60120017
304,60120030
305,60120040
306,60130024
307,60140003
308,60140009
309,60150008
310,60180019
311,60220023
312,60230007
313,60240024
314,60310011
315,60340009
316,60350026
317,60350027
318,60370005
319,60380012
320,60410009
321,60420018
322,60440001
323,60460012
324,60490014
325,60510008
326,60520008
327,60520015
328,60560012
329,60560013
330,60570011
331,60570014
332,60580002
333,60580014
334,60590019
335,60590020
336,60600016
337,60600017
338,60610007
339,60630018
340,60640011
341,70010005
342,70010022
343,70010025
344,70010033
345,70070027
346,70070029
347,70080012
348,70100022
351,70140026
352,70150014
353,70150020
354,70180008
355,70210001
356,70230006
357,70230016
358,70260013
359,70280009
360,70300014
361,70340015
362,70400021
363,70420012
364,70430024
365,70440005
366,70490001
367,70490022
368,70500015
369,70500020
370,70500021
371,70520002
372,70520009
373,70520026
374,70520030
375,70550003
376,70550016
377,70560015
378,70570002
379,70630017
380,70680008
381,70680009
382,70680012
383,70690015
384,70690023
385,70710001
386,70730021
387,70760018
388,70760025
389,70770017
390,70780018
391,70780020
392,70820001
393,70840005
394,70850024
395,70900012
396,70970010
397,71010014
398,71080009
401,71090002
402,71100021
403,71110017
404,71130017
405,71150005
406,71190007
407,71210011
408,71250003
409,71250011
410,71260009
411,71300023
412,71380027
413,71380033
414,71400004
415,71400009
416,71460010
417,71490015
418,71490026
419,80010004
420,80040004
421,80050023
422,80050042
423,80080004
424,80100019
425,80140004
426,80150008
427,80150020
428,80190007
429,80200001
430,80200007
431,80200008
432,80210003
433,80210004
434,80210021
435,80220012
436,80230016
437,80280003
438,80300004
439,80320001
440,80360001
441,80360016
442,80380003
443,80390013
444,80410003
445,80450024
446,80460002
447,80460003
448,80520001
451,80570012
452,80570016
453,80570020
454,80640004
455,80690005
456,80700023
457,80720016
458,80800009
459,80850007
460,80850043
461,80850045
462,80860010
463,80870009
464,80870012
465,80870025
466,80910006
467,80920003
468,80940004
469,80990003
470,81000010
471,81060015
472,81090007
473,81180003
474,81180021
475,81260010
476,81310009
477,81320015
478,81320020
479,81330007
480,81340005
481,81380008
482,81380015
483,81490014
484,81510024
485,81520020
486,81540003
487,81540010
488,81600001
489,81640040
490,81650008
491,90020007
492,90020008
493,90060001
494,90120009
495,90130022
496,90150005
497,90170015
498,90170020
501,90250001
502,90330003
503,90330019
504,90340008
505,90350007
506,90420010
507,90530002
508,90540020
509,90590003
510,90620012
511,90620036
512,90640011
513,90650001
514,90680011
515,90680028
516,90700014
517,90710011
518,90730002
519,90730007
520,90730013
521,90760004
522,90790012
523,90800001
524,90810004
525,90820020
526,90860012
527,90890006
528,90890014
529,90910011
530,90910013
531,90910020
532,90910021
533,90920006
534,90940012
535,90960004
536,90970004
537,90990006
538,91000013
539,91020003
540,91030014
541,91050011
542,91100011
543,91120023
544,91160002
545,91190005
546,91200004
547,91270004
548,100030001
551,100030007
552,100030012
553,100030024
554,100040005
555,100040026
556,100050004
557,100050060
558,100070003
559,100070023
560,100070028
561,100090003
562,100090009
563,100140008
564,100170001
565,100230012
566,100240021
567,100240022
568,100280001
569,100290009
570,100410013
571,100420006
572,100420007
573,100440001
574,110020026
575,110020033
576,110020119
577,110020153
578,110020157
579,110020163
580,110020164
581,110040060
582,110050040
583,110050041
584,110050044
585,110060028
586,110070046
587,110080012
588,110120007
589,110130192
590,110150002
591,110160026
592,110170028
593,110170116
594,110170141
595,110200107
596,110200227
597,110210033
598,110230111
601,110230175
602,110260070
603,110260086
604,110260097
605,110280090
606,110300126
607,110300131
608,110300136
609,110310180
610,110320218
611,110320260
612,110320395
613,110320447
614,110330178
615,110330197
616,110330203
617,110330271
618,110350138
619,110350195
620,110350283
621,110360086
